,Dataset Name,Dataset Group
589,ESM2G Precipitation Flux,3
590,ESM2G Precipitation Flux,3
591,ESM2G Precipitation Flux,3
592,ESM2G Precipitation Flux,3
593,ESM2G Precipitation Flux,3
594,ESM2G Precipitation Flux,3
595,ESM2G Precipitation Flux,3
596,ESM2G Precipitation Flux,3
597,ESM2G Precipitation Flux,3
598,ESM2G Precipitation Flux,3
599,ESM2G Precipitation Flux,3
600,ESM2G Precipitation Flux,3
601,ESM2G Precipitation Flux,3
602,ESM2G Precipitation Flux,3
603,ESM2G Precipitation Flux,3
604,ESM2G Precipitation Flux,3
605,ESM2G Precipitation Flux,3
606,ESM2G Precipitation Flux,3
607,ESM2G Precipitation Flux,3
608,ESM2G Precipitation Flux,3
609,ESM2G Precipitation Flux,3
610,ESM2G Precipitation Flux,3
611,ESM2G Precipitation Flux,3
612,ESM2G Precipitation Flux,3
613,ESM2G Precipitation Flux,3
614,ESM2G Precipitation Flux,3
615,ESM2G Precipitation Flux,3
616,ESM2G Precipitation Flux,3
617,ESM2G Precipitation Flux,3
618,ESM2G Precipitation Flux,3
619,ESM2G Precipitation Flux,3
620,ESM2G Precipitation Flux,3
621,ESM2G Precipitation Flux,3
622,ESM2G Precipitation Flux,3
623,ESM2G Precipitation Flux,3
624,ESM2G Precipitation Flux,3
625,ESM2G Precipitation Flux,3
626,ESM2G Precipitation Flux,3
627,ESM2G Precipitation Flux,3
628,ESM2G Precipitation Flux,3
629,ESM2G Precipitation Flux,3
630,ESM2G Precipitation Flux,3
631,ESM2G Precipitation Flux,3
632,ESM2G Precipitation Flux,3
633,ESM2G Precipitation Flux,3
634,ESM2G Precipitation Flux,3
635,ESM2G Precipitation Flux,3
636,ESM2G Precipitation Flux,3
637,ESM2G Precipitation Flux,3
638,ESM2G Precipitation Flux,3
639,ESM2G Precipitation Flux,3
640,ESM2G Precipitation Flux,3
641,ESM2G Precipitation Flux,3
642,ESM2G Precipitation Flux,3
643,ESM2G Precipitation Flux,3
644,ESM2G Precipitation Flux,3
645,ESM2G Precipitation Flux,3
646,ESM2G Precipitation Flux,3
